,feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,gene
95,MA0658.1,0,-0.077769633111918,-0.0762194887932825,4856939,0.478840920285246,0.0115156596328893,0.0137536085804131,100,100,LHX6
96,MA0660.1,0,-0.572906102908146,-0.551599908819534,3685512,0.363351064899583,7.40365440398348e-60,4.46334594068718e-59,100,100,MEF2B
97,MA0661.1,0,-0.234772736105424,-0.250847207460566,4370075,0.430841469228982,1.47669818277478e-16,3.14730622793412e-16,100,100,MEOX1
98,MA0662.1,0,-0.072594216524361,-0.0647851179776972,4838477,0.477020769554445,0.00606960546014254,0.00734619551868113,100,100,MIXL1
99,MA0663.1,0,-0.226235057533906,-0.207283426402141,4584408,0.451972352480244,9.74624991961518e-09,1.56583152261838e-08,100,100,MLX
100,MA0664.1,0,-0.07225424240649,-0.0405370486749823,5028925,0.495796853747902,0.615736785069097,0.631704027469593,100,100,MLXIPL
101,MA0665.1,0,-0.206095097409449,-0.182065671050578,4568827,0.45043623675407,3.24855860710164e-09,5.34113661894893e-09,100,100,MSC
102,MA0666.1,0,-0.145069965598572,-0.167830435128195,4590488,0.452571773802054,1.48308929051449e-08,2.35878271581827e-08,100,100,MSX1
103,MA0667.1,0,-0.13136013845326,-0.103941316974151,4763634,0.469642070543214,0.00028884437058965,0.000376986570274739,100,100,MYF6
104,MA0668.1,0,-0.0221150847670591,-0.0119081430510737,5053030,0.498173342393008,0.827335983958362,0.836587344801347,100,100,NEUROD2
105,MA0669.1,0,-0.413295340521847,-0.42766881180302,3920315,0.386500065660296,7.57632945457676e-42,3.19721102983139e-41,100,100,NEUROG2
106,MA0670.1,0,-0.109987692128293,-0.0769669673218073,4862720,0.479410863486132,0.0139483593828498,0.0165964501679398,100,100,NFIA
107,MA0671.1,0,-0.0425516771177193,0.000282998260352087,5088329,0.501653436675672,0.843487288221225,0.851558936912337,100,100,NFIX
108,MA0048.2,0,-0.266021897370255,-0.241943039011044,4376791,0.431503593175904,2.85477169314767e-16,5.98367709192873e-16,100,100,NHLH1
109,MA0672.1,0,-0.118022270176576,-0.0992877375090036,4811724,0.474383217149444,0.00222111664945067,0.00276765125807534,100,100,NKX2-3
110,MA0673.1,0,-0.0446352018426006,-0.0221472556346791,5028553,0.495760178627554,0.612659401615615,0.629567209777085,100,100,NKX2-8
111,MA0674.1,0,-0.244896484958695,-0.258859850949758,4340251,0.427901149903048,7.33897349137554e-18,1.63576416198617e-17,100,100,NKX6-1
112,MA0675.1,0,-0.168882300835249,-0.18436727421428,4548219,0.448404513958038,7.22274286035265e-10,1.22245888518803e-09,100,100,NKX6-2
113,MA0678.1,0,-0.184391812464039,-0.176225500824501,4582874,0.451821116903326,8.75977426174246e-09,1.41092547269287e-08,100,100,OLIG2
114,MA0068.2,0,-0.125099995340421,-0.129017019180972,4694243,0.462800878940949,8.91152687560156e-06,1.25077527987933e-05,100,100,PAX4
115,MA0680.1,0,-0.0353697039978065,-0.0277625942408831,4986392.5,0.491603615693639,0.316041444336557,0.337929449772028,100,100,PAX7
116,MA0683.1,0,-0.233327848314693,-0.231919616033028,4333884.5,0.427273482823227,3.80626679244873e-18,8.57425935807846e-18,100,100,POU4F2
117,MA0685.1,0,0.226625563575296,0.269078941850952,6281855,0.619322011105857,4.57937402317212e-46,2.21278149363966e-45,100,100,SP4
118,MA0686.1,0,0.150793568454367,0.170606261076266,5524180,0.544623565381684,9.89741511770332e-08,1.50965392036294e-07,100,100,SPDEF
119,MA0687.1,0,-0.707184144790829,-0.67506268312721,4642611,0.45771052997915,4.42093227994046e-07,6.41846360826219e-07,100,100,SPIC
120,MA0083.3,0,-0.234014870421075,-0.246222584354317,4394316,0.433231365982603,1.5487916406878e-15,3.15236369310412e-15,100,100,SRF
121,MA0009.2,0,-0.305234656436552,-0.326956018327796,4217284,0.415777952258458,8.54412472877064e-24,2.20752283808646e-23,100,100,TBXT
